"Timestamp","Q1. Where do you like to meet for coffee at ANU?","Q2. Does the cafe offer complimentary food?","Q3. Is the cafe the top rated on Google Maps?","Q4. Does the cafe provide a relaxed environment to spend time in for conversation and socialising?","Q5. Will I be shamed for requesting extra chocolate powder on my cappuccino?","Q6. Does the cafe have seats available in the sun (assuming it is a nice day)?","Q7. Does the cafe support the Green Caffeen reusable cup swap scheme (https://greencaffeen.com.au/)?","Q8. Will they get the spelling of my name right?","Q9. Is the cafe closest to your main work/study location?","Q10. Will they charge me for requesting an alternative milk?","Q11. Does the cafe sell big cookies?","Q12. Does this cafe serve chilled fruit flavoured coffee?","Q13. Do they make tasty coffee?","Q14. Does their decaf taste like hot milk?","Q15. Is the cafe easy to locate as a new comer to ANU?","Q16. Does the cafe also serve soft drinks?"
"2022/05/10 2:09:27 pm GMT+10","Coffee Lab","No","No","No","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"2022/05/10 2:35:29 pm GMT+10","Coffee Lab","Yes","No","Yes","Yes","Yes","No","No","Yes","Yes","No","No","Yes","No","Yes","Yes"
"2022/05/10 2:37:35 pm GMT+10","Craft Beans","No","Yes","No","No","No","No","Yes","No","No","No","No","Yes","No","Yes","No"
"2022/05/10 2:40:49 pm GMT+10","Coffee Grounds","Yes","Yes","Yes","No","Yes","No","Yes","Yes","Yes","No","No","Yes","No","Yes","No"
"2022/05/10 2:41:49 pm GMT+10","Vanilla Bean","No","No","Yes","No","Yes","No","No","No","Yes","No","No","Yes","Yes","No","Yes"
"2022/05/10 2:42:31 pm GMT+10","Fellows","No","No","Yes","No","Yes","No","No","No","Yes","No","No","No","Yes","No","Yes"
"2022/05/10 3:49:47 pm GMT+10","Little Pickle","Yes","Yes","Yes","No","No","No","Yes","No","No","No","No","Yes","No","No","Yes"
"2022/05/10 4:46:20 pm GMT+10","Rex Espresso","No","No","Yes","No","Yes","Yes","No","No","Yes","Yes","No","Yes","No","Yes","No"
"2022/05/11 6:54:03 am GMT+10","Rex Espresso","Yes","","No","Yes","Yes","No","Yes","No","Yes","No","No","Yes","No","Yes","Yes"
"2022/05/11 6:54:50 am GMT+10","Coffee Grounds","Yes","No","Yes","No","Yes","No","Yes","Yes","Yes","No","No","Yes","No","No","Yes"
"2022/05/11 10:24:22 am GMT+10","Coffee Lab","No","","Yes","No","","","","","Yes","","","","","Yes","Yes"
